policy,metric,status,full_mean,partial_mean,mean_label,topics_total,topics_observed,observed_topics,censored_topics
auto_tar,batch_effort_at_75,OBSERVED,1399.9333333333334,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,batch_effort_at_80,OBSERVED,1565.7333333333331,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,batch_effort_at_90,OBSERVED,2724.266666666667,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,depth_fraction_at_75,OBSERVED,0.05661295664319553,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,depth_fraction_at_80,OBSERVED,0.06341814621221939,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,depth_fraction_at_90,OBSERVED,0.11156709433092862,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,depth_per_positive_at_75,OBSERVED,1.9186295577591366,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,depth_per_positive_at_80,OBSERVED,2.340880377659471,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,depth_per_positive_at_90,OBSERVED,15.724854771525703,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,effort_at_75,OBSERVED,1310.5333333333333,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,effort_at_80,OBSERVED,1468.0666666666668,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,effort_at_90,OBSERVED,2582.666666666667,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,recall_at_1000,OBSERVED,0.6643087909247065,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,recall_at_1R_plus_0,OBSERVED,0.652724617490483,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,recall_at_1R_plus_100,OBSERVED,0.6935703397606409,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
auto_tar,recall_at_1R_plus_1000,CENSORED,CENSORED,0.9177689991585141,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
