n,positives,reviewed,found_at_20,precision_at_20,recall_at_20,found_at_100,precision_at_100,recall_at_100,found_at_500,precision_at_500,recall_at_500,found_at_1000,precision_at_1000,recall_at_1000,found_at_2000,precision_at_2000,recall_at_2000,found_at_5000,precision_at_5000,recall_at_5000,effort_at_75,wss_at_75,effort_at_90,wss_at_90,topic,seed,policy,seed_doc_id,fits,seconds,batch_effort_at_75,batch_effort_at_90,worker_process_peak_rss_kib
23149,381,23149,17,0.85,0.04461942257217848,81,0.81,0.2125984251968504,277,0.554,0.7270341207349081,342,0.342,0.8976377952755905,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,550,0.7262408743358244,1017,0.8560672167264245,C12,11,grow_20pct,16008,40,3.7235580689994094,568,1227,344276
23149,381,23149,1,0.05,0.0026246719160104987,2,0.02,0.005249343832020997,10,0.02,0.026246719160104987,21,0.021,0.05511811023622047,38,0.019,0.09973753280839895,86,0.0172,0.22572178477690288,18203,-0.03634066266361402,21419,-0.025266750183593256,C12,29,random,19765,0,0.07605963100104418,18522,22473,344276
23149,381,23149,1,0.05,0.0026246719160104987,8,0.08,0.02099737532808399,24,0.048,0.06299212598425197,43,0.043,0.11286089238845144,86,0.043,0.22572178477690288,189,0.0378,0.49606299212598426,9696,0.33114821374573417,15861,0.21483001425547543,C12,29,seed_similarity,19765,0,0.6923948639996524,10337,16812,344276
23149,381,23149,1,0.05,0.0026246719160104987,9,0.09,0.023622047244094488,30,0.06,0.07874015748031496,50,0.05,0.13123359580052493,85,0.0425,0.2230971128608924,168,0.0336,0.4409448818897638,12666,0.20284893515918612,17958,0.12424294785951884,C12,29,seed_only_frozen,19765,1,0.7119316719999915,13846,18522,344276
23149,381,23149,10,0.5,0.026246719160104987,63,0.63,0.16535433070866143,214,0.428,0.5616797900262467,272,0.272,0.7139107611548556,298,0.149,0.7821522309711286,331,0.0662,0.868766404199475,1274,0.6949652252797097,9415,0.49328696703961294,C12,29,uncertainty,19765,63,5.96400529300081,1373,10337,344276
23149,381,23149,10,0.5,0.026246719160104987,78,0.78,0.2047244094488189,286,0.572,0.7506561679790026,340,0.34,0.8923884514435696,356,0.178,0.9343832020997376,372,0.0744,0.9763779527559056,500,0.7284007948507495,1066,0.853950494621798,C12,29,auto_tar,19765,63,5.215516563001074,561,1106,344276
23149,381,23149,17,0.85,0.04461942257217848,86,0.86,0.22572178477690288,292,0.584,0.7664041994750657,342,0.342,0.8976377952755905,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,463,0.729999136031794,1035,0.8552896453410515,C12,11,fixed_10,16008,2315,314.04866769400087,471,1041,407128
23149,381,23149,10,0.5,0.026246719160104987,76,0.76,0.1994750656167979,277,0.554,0.7270341207349081,340,0.34,0.8923884514435696,358,0.179,0.9396325459317585,372,0.0744,0.9763779527559056,536,0.7268456520800035,1060,0.854209685083589,C12,29,explore_10,19765,63,5.08960682200086,561,1106,407128
23149,381,23149,1,0.05,0.0026246719160104987,2,0.02,0.005249343832020997,260,0.52,0.6824146981627297,336,0.336,0.8818897637795275,356,0.178,0.9343832020997376,372,0.0744,0.9763779527559056,609,0.7236921681282129,1133,0.8510562011317984,C12,29,fixed_20,19765,1158,157.493383508001,621,1141,344276
23149,381,23149,1,0.05,0.0026246719160104987,19,0.19,0.049868766404199474,271,0.542,0.7112860892388452,342,0.342,0.8976377952755905,357,0.1785,0.937007874015748,372,0.0744,0.9763779527559056,559,0.7258520886431379,1011,0.8563264071882155,C12,29,fixed_50,19765,463,65.30957669500094,601,1051,344276
23149,381,23149,1,0.05,0.0026246719160104987,9,0.09,0.023622047244094488,251,0.502,0.6587926509186351,339,0.339,0.889763779527559,356,0.178,0.9343832020997376,372,0.0744,0.9763779527559056,601,0.7240377554106009,1091,0.8528705343643355,C12,29,fixed_100,19765,232,31.39379021700006,601,1101,344276
23149,381,23149,10,0.5,0.026246719160104987,79,0.79,0.2073490813648294,287,0.574,0.7532808398950132,342,0.342,0.8976377952755905,356,0.178,0.9343832020997376,372,0.0744,0.9763779527559056,491,0.728789580543436,1050,0.8546416691865739,C12,29,grow_5pct,19765,95,9.634297734000938,511,1059,344276
23149,381,23149,10,0.5,0.026246719160104987,81,0.81,0.2125984251968504,278,0.556,0.7296587926509186,342,0.342,0.8976377952755905,358,0.179,0.9396325459317585,372,0.0744,0.9763779527559056,569,0.7254201045401529,1017,0.8560672167264245,C12,29,grow_20pct,19765,40,3.033257216999118,690,1227,344276
23149,381,23149,4,0.2,0.010498687664041995,6,0.06,0.015748031496062992,9,0.018,0.023622047244094488,20,0.02,0.05249343832020997,36,0.018,0.09448818897637795,81,0.0162,0.2125984251968504,17422,-0.0026027042204846973,20163,0.02899045315132409,C12,47,random,18244,0,0.04973372099993867,18522,20403,344276
23149,381,23149,15,0.75,0.03937007874015748,73,0.73,0.19160104986876642,102,0.204,0.2677165354330709,132,0.132,0.3464566929133858,169,0.0845,0.4435695538057743,254,0.0508,0.6666666666666666,7547,0.4239815974772128,12343,0.36680202168560194,C12,47,seed_similarity,18244,0,0.751228948998687,7704,12563,344276
