topic,policy,metric,status,value,numerator,denominator,seeds_total,seeds_observed,censored_seeds
GCRIM,random,recall_at_1R_plus_1000,OBSERVED,0.09532215357458076,108.0,1133.0,3,3,
GCRIM,random,recall_at_2R,OBSERVED,0.10238305383936452,116.0,1133.0,3,3,
GCRIM,random,recall_at_2R_plus_0,OBSERVED,0.10238305383936452,116.0,1133.0,3,3,
GCRIM,random,recall_at_2R_plus_100,OBSERVED,0.10679611650485436,11.0,103.0,3,3,
GCRIM,random,recall_at_2R_plus_1000,OBSERVED,0.14563106796116504,15.0,103.0,3,3,
GCRIM,random,recall_at_4R_plus_0,OBSERVED,0.20270667843483378,689.0,3399.0,3,3,
GCRIM,random,recall_at_4R_plus_100,OBSERVED,0.20741394527802295,235.0,1133.0,3,3,
GCRIM,random,recall_at_4R_plus_1000,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,recall_at_R,OBSERVED,0.054133568696675495,184.0,3399.0,3,3,
GCRIM,seed_similarity,batch_effort_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,batch_effort_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,batch_effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,seed_similarity,depth_fraction_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,depth_fraction_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,depth_fraction_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,seed_similarity,depth_per_positive_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,depth_per_positive_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,depth_per_positive_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,seed_similarity,effort_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,effort_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,seed_similarity,overshoot_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,overshoot_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,seed_similarity,overshoot_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,seed_similarity,recall_at_1000,OBSERVED,0.2750809061488673,85.0,309.0,3,3,
GCRIM,seed_similarity,recall_at_1R_plus_0,OBSERVED,0.2971462194763166,1010.0,3399.0,3,3,
