reviews,random,seed_similarity,frozen_svm,uncertainty,auto_tar,fixed_20,explore_10
36,0.007556119603300322,0.022239998235263857,0.021922989468468504,0.049110961885950453,0.05118747107872174,0.03704280271485512,0.05118747107872174
37,0.007572072383072197,0.02271305932068151,0.02229586604146387,0.050889982311835814,0.05316795203301501,0.03753181658004464,0.05316795203301501
38,0.007805891346346095,0.02312882394944486,0.022827767962421388,0.05154227748330799,0.05378788876962121,0.03807967128077404,0.05378788876962121
39,0.007864732181885959,0.02363107901497134,0.023155044900213827,0.05219186107534524,0.05445342514143033,0.03881574530957441,0.05445342514143033
40,0.007926284596860752,0.02406279642350656,0.02348232183800628,0.054172342029638526,0.05647950573092654,0.039551819338374795,0.05647950573092654
41,0.007942237376632627,0.02437412058152712,0.025183384193822732,0.05600749171162881,0.058387904649343,0.04164843758486223,0.058387904649343
42,0.007958190156404503,0.024746997154522492,0.025510661131615174,0.05654364959090682,0.05899460018561228,0.043803896666889545,0.05899460018561228
43,0.008078583406919162,0.025262493420385907,0.025985266595918387,0.05834915241746606,0.06100743957477151,0.04594611454857992,0.06100743957477151
44,0.008094536186691039,0.025907821054102668,0.026517168516875918,0.059130826081469356,0.06177587203843786,0.04792659550287319,0.06177587203843786
45,0.008094536186691039,0.026439722975060188,0.02689004508987127,0.059621384325544445,0.06238256757470713,0.05005557218422663,0.06238256757470713
46,0.008094536186691039,0.02692602526081478,0.027376347375625873,0.0602709679175817,0.0630348627461793,0.050837245848229906,0.0630348627461793
47,0.008094536186691039,0.027471168382109255,0.02764478347787845,0.06077522023731594,0.06374599875319134,0.05157331987703028,0.06374599875319134
48,0.008110488966462914,0.028019023082838646,0.028072244928093185,0.06284690046201506,0.06439829392466351,0.05229615270549371,0.06439829392466351
49,0.008110488966462914,0.02845074049137387,0.028383569086113745,0.06368741496155822,0.06655375300669082,0.053091067569833936,0.06655375300669082
50,0.008126441746234789,0.029057436027643133,0.028694893244134316,0.06552256464354853,0.06721928937849994,0.05382714159863432,0.06721928937849994
51,0.008187994161209583,0.02932316055046078,0.02880159241898981,0.06631747950788877,0.06931590762498739,0.05596935948032467,0.06931590762498739
52,0.008203946940981458,0.029929856086730044,0.02952171366801831,0.06806414149890815,0.07129638857928068,0.056796632779530884,0.07129638857928068
53,0.008265499355956251,0.030432111152256514,0.03000801595377291,0.06855469974298321,0.07326362833323702,0.05893885066122126,0.07326362833323702
54,0.00831109899115917,0.030697835675074166,0.03163428469427763,0.07023082407701134,0.07397476434024905,0.05959114583269344,0.07397476434024905
55,0.00831109899115917,0.031213331940937585,0.03214978096014105,0.07070542954131456,0.07464030071205818,0.06155838558664977,0.07464030071205818
56,0.008327051770931047,0.031820027477206844,0.03269492408143552,0.07102100965765563,0.07524699624832741,0.06362852143246331,0.07483123161956408
57,0.008388604185905837,0.032526907525898395,0.033331266473135814,0.07168654602946475,0.07613311038307352,0.06423521696873258,0.07571734575431015
58,0.008622423149179737,0.03283823168391896,0.03384676273899923,0.07387436354635807,0.07697362488261668,0.06507573146827574,0.07791840447154039
59,0.008668022784382655,0.0331655086217114,0.03412844004158876,0.07474452490133222,0.0791026015639701,0.06591624596781889,0.07874567777074662
60,0.008713622419585572,0.03498270826972204,0.034614742327343365,0.07523508314540735,0.07981373757098215,0.06669791963182219,0.07957295106995281
61,0.008729575199357447,0.03529403242774261,0.03515988544863782,0.07582853748133965,0.08064101087018835,0.06747959329582547,0.08045906520469889
62,0.008745527979129324,0.036995094783559064,0.03570774014936722,0.07633079254686612,0.08130654724199746,0.06955127352052459,0.0812863385039051
63,0.008745527979129324,0.03727677208614858,0.0363822617631928,0.07813629537342535,0.0820176832490095,0.07043738765527066,0.08171805591244033
64,0.008745527979129324,0.037649648659143956,0.0381745233894151,0.07880183174523449,0.0827993569130128,0.07127790215481383,0.0825453292116465
65,0.008745527979129324,0.03807711010935868,0.03844024791223275,0.07917470831822984,0.08323107432154803,0.07188459769108309,0.08332700287564981
66,0.008745527979129324,0.038533765539682234,0.040186909903252126,0.07964931378253307,0.08383776985781728,0.07249129322735234,0.08546922075734018
67,0.008745527979129324,0.03908162024041163,0.04039804954885041,0.08036044978954511,0.08597998773950763,0.07463351110904272,0.08550112631688393
68,0.008995299722175094,0.040653304103696976,0.04091354581471383,0.08099679218124539,0.08686610187425371,0.07677572899073308,0.08616666268869307
69,0.009229118685448994,0.04115555916922345,0.04142904208057725,0.08284789464300757,0.08870396313567895,0.07880180958022925,0.08823834291339216
70,0.009290671100423788,0.04154167694255576,0.0419021031659949,0.08338405252228556,0.08931065867194819,0.07959672444456951,0.08907885741293534
71,0.009306623880195663,0.04192779471588806,0.04374894966943657,0.08422456702182875,0.09013793197115443,0.0802490196160417,0.08973115258440754
72,0.00932257665996754,0.0422979597094485,0.04413506744276888,0.08476072490110674,0.09102404610590048,0.0810762929152479,0.0906172667191536
73,0.009338529439739415,0.04271372433821184,0.044491991235992366,0.08558799820031296,0.09185131940510667,0.08185796657925118,0.09150338085389967
74,0.009416034634486082,0.04349539800221515,0.04510767201427809,0.08629913420732499,0.09256245541211874,0.08269848107879434,0.0923438953534428
75,0.009477587049460874,0.04389321259699883,0.04536015533675878,0.08713964870686813,0.09340296991166189,0.08477016130349346,0.09317116865264904
76,0.009477587049460874,0.04556508097270648,0.045542101002248224,0.0891524880960274,0.09405526508313407,0.08537685683976272,0.09401168315219219
77,0.009539139464435667,0.047311742963725846,0.04595786563101157,0.08981802446783653,0.09476640109014611,0.08598355237603197,0.09489779728693827
78,0.009555092244207542,0.047813998029252326,0.04646012069653805,0.09045436685953681,0.09560691558968926,0.08818461109326223,0.0956089332939503
79,0.00957104502397942,0.048361852729981725,0.046758203654221675,0.09091301954406815,0.0963180515967013,0.09026798813941274,0.09627446966575942
80,0.00957104502397942,0.04843935792472839,0.047069527812242246,0.09128318453762857,0.09698358796851042,0.09115410227415878,0.09627446966575942
81,0.00957104502397942,0.04881223449772376,0.04735320236903955,0.09201925856642895,0.09763588313998263,0.09181963864596791,0.09698560567277145
82,0.009616644659182338,0.04916915829094724,0.04772336736259998,0.09267155373790117,0.0981720410192606,0.09270575278071398,0.09781287897197768
83,0.009662244294385256,0.049201063850490986,0.04785971339288651,0.09316211198197624,0.09905815515400668,0.09335804795218619,0.09869899310672377
84,0.009662244294385256,0.049398962295752316,0.04804165905837597,0.0939410740665446,0.09976929116101872,0.09537088734134541,0.09906017285826771
85,0.009694149853929006,0.04949242027027087,0.04839587127216452,0.09467443651591004,0.10048042716803077,0.09738372673050467,0.09965362719420004
86,0.009771655048675675,0.049774097572860394,0.04875008348595308,0.09539726934437347,0.1010165850473088,0.0982242412300478,0.10036476320121207
87,0.00983049588421554,0.04997199601812171,0.049015808008770735,0.09628338347911952,0.10166888021878097,0.09859711780304319,0.10107589920822413
