n,positives,reviewed,found_at_20,precision_at_20,recall_at_20,found_at_100,precision_at_100,recall_at_100,found_at_500,precision_at_500,recall_at_500,found_at_1000,precision_at_1000,recall_at_1000,found_at_2000,precision_at_2000,recall_at_2000,found_at_5000,precision_at_5000,recall_at_5000,effort_at_75,wss_at_75,effort_at_90,wss_at_90,topic,seed,policy,seed_doc_id,fits,seconds,batch_effort_at_75,batch_effort_at_90
23149,381,5000,7,0.35,0.01837270341207349,79,0.79,0.2073490813648294,289,0.578,0.7585301837270341,341,0.341,0.89501312335958,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,490.0,0.7288327789537346,1062.0,0.8541232882629919,C12,47,fixed_20,5197,250,30.92990907400008,501.0,1081.0
23149,381,5000,14,0.7,0.03674540682414698,85,0.85,0.2230971128608924,279,0.558,0.7322834645669292,337,0.337,0.884514435695538,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,530.0,0.7271048425417944,1180.0,0.8490258758477688,C12,47,explore_10,5197,47,2.9187896559999444,561.0,1233.0
23149,4179,5000,5,0.25,0.0011964584828906438,27,0.27,0.006460875807609476,106,0.212,0.025364919837281646,193,0.193,0.046183297439578844,364,0.182,0.08710217755443886,891,0.1782,0.2132089016511127,,,,,C15,11,random,5272,0,0.01890279000008377,,
23149,4179,5000,20,1.0,0.004785833931562575,97,0.97,0.023211294568078487,449,0.898,0.10744197176357981,868,0.868,0.20770519262981574,1570,0.785,0.3756879636276621,2709,0.5418,0.6482412060301508,,,,,C15,11,seed_similarity,5272,0,0.6313295589998233,,
23149,4179,5000,20,1.0,0.004785833931562575,93,0.93,0.022254127781765973,372,0.744,0.0890165111270639,636,0.636,0.15218951902368988,1065,0.5325,0.2548456568557071,1915,0.383,0.4582435989471165,,,,,C15,11,frozen_svm,5272,1,0.3678135539998948,,
23149,4179,5000,18,0.9,0.004307250538406317,85,0.85,0.020339794209140942,312,0.624,0.07465900933237617,550,0.55,0.1316104331179708,1028,0.514,0.24599186408231635,1775,0.355,0.4247427614261785,,,,,C15,11,uncertainty,5272,47,9.494708599999967,,
23149,4179,5000,18,0.9,0.004307250538406317,98,0.98,0.023450586264656615,491,0.982,0.11749222301986122,989,0.989,0.23665948791576932,1979,0.9895,0.47355826752811675,3896,0.7792,0.9322804498683895,3273.0,0.6086116030930062,4423.0,0.7089334312497301,C15,11,auto_tar,5272,47,2.2874065999999402,3479.0,4698.0
23149,4179,5000,20,1.0,0.004785833931562575,100,1.0,0.023929169657812874,488,0.976,0.11677434793012682,986,0.986,0.23594161282603493,1982,0.991,0.47427614261785117,3926,0.7852,0.9394592007657334,3223.0,0.6107715236079312,4283.0,0.7149812086915202,C15,11,fixed_20,5272,250,23.358860052999944,3241.0,4301.0
23149,4179,5000,18,0.9,0.004307250538406317,95,0.95,0.02273271117492223,455,0.91,0.10887772194304858,913,0.913,0.21847331897583153,1833,0.9165,0.43862167982771,3816,0.7632,0.9131371141421393,3555.0,0.5964296513888289,4817.0,0.6919132575921206,C15,11,explore_10,5272,47,1.7309671200000594,3847.0,5000.0
23149,4179,5000,3,0.15,0.0007178750897343862,16,0.16,0.00382866714525006,92,0.184,0.022014836085187842,192,0.192,0.04594400574300072,378,0.189,0.09045226130653267,900,0.18,0.21536252692031588,,,,,C15,29,random,24286,0,0.01611665899986292,,
23149,4179,5000,20,1.0,0.004785833931562575,100,1.0,0.023929169657812874,496,0.992,0.11868868150275186,979,0.979,0.23426657094998804,1716,0.858,0.4106245513280689,2706,0.5412,0.6475233309404164,,,,,C15,29,seed_similarity,24286,0,0.4907663140002114,,
23149,4179,5000,20,1.0,0.004785833931562575,98,0.98,0.023450586264656615,492,0.984,0.11773151471643933,913,0.913,0.21847331897583153,1517,0.7585,0.3630055037090213,2285,0.457,0.5467815266810242,,,,,C15,29,frozen_svm,24286,1,0.3867037640000035,,
23149,4179,5000,20,1.0,0.004785833931562575,91,0.91,0.021775544388609715,300,0.6,0.07178750897343862,555,0.555,0.13280689160086145,1019,0.5095,0.24383823881311317,1774,0.3548,0.4245034697296004,,,,,C15,29,uncertainty,24286,47,10.517938057000038,,
23149,4179,5000,20,1.0,0.004785833931562575,100,1.0,0.023929169657812874,499,0.998,0.11940655659248624,998,0.998,0.23881311318497248,1992,0.996,0.4766690595836324,3876,0.7752,0.927494615936827,3320.0,0.6065812778089766,4570.0,0.7025832649358503,C15,29,auto_tar,24286,47,1.894954910000024,3479.0,4698.0
23149,4179,5000,20,1.0,0.004785833931562575,100,1.0,0.023929169657812874,498,0.996,0.1191672648959081,998,0.998,0.23881311318497248,1994,0.997,0.4771476429767887,3932,0.7864,0.9408949509452021,3219.0,0.6109443172491252,4262.0,0.7158883753077887,C15,29,fixed_20,24286,250,30.016398729000002,3221.0,4281.0
23149,4179,5000,20,1.0,0.004785833931562575,98,0.98,0.023450586264656615,470,0.94,0.1124670973917205,925,0.925,0.22134481933476907,1846,0.923,0.4417324718832257,3817,0.7634,0.9133764058387174,3518.0,0.5980279925698735,4758.0,0.6944619637997322,C15,29,explore_10,24286,47,1.3078720790001626,3847.0,5000.0
23149,4179,5000,4,0.2,0.000957166786312515,16,0.16,0.00382866714525006,86,0.172,0.020579085905719073,175,0.175,0.04187604690117253,356,0.178,0.08518784398181384,911,0.1822,0.2179947355826753,,,,,C15,47,random,4547,0,0.0262018910000279,,
23149,4179,5000,10,0.5,0.0023929169657812875,60,0.6,0.014357501794687724,250,0.5,0.059822924144532184,442,0.442,0.1057669298875329,768,0.384,0.18377602297200288,1765,0.353,0.42234984446039725,,,,,C15,47,seed_similarity,4547,0,0.7578430350001781,,
23149,4179,5000,9,0.45,0.0021536252692031586,36,0.36,0.008614501076812634,199,0.398,0.047619047619047616,376,0.376,0.0899736779133764,701,0.3505,0.16774347930126823,1500,0.3,0.3589375448671931,,,,,C15,47,frozen_svm,4547,1,0.4032839150002019,,
23149,4179,5000,9,0.45,0.0021536252692031586,86,0.86,0.020579085905719073,307,0.614,0.07346255084948553,552,0.552,0.13208901651112706,1032,0.516,0.24694903086862885,1781,0.3562,0.4261785116056473,,,,,C15,47,uncertainty,4547,47,10.93577726600006,,
23149,4179,5000,12,0.6,0.002871500358937545,92,0.92,0.022014836085187842,492,0.984,0.11773151471643933,990,0.99,0.23689877961234745,1978,0.989,0.47331897583153865,3891,0.7782,0.9310839913854989,3312.0,0.6069268650913646,4467.0,0.707032701196596,C15,47,auto_tar,4547,47,2.972451224999986,3479.0,4698.0
23149,4179,5000,9,0.45,0.0021536252692031586,86,0.86,0.020579085905719073,486,0.972,0.11629576453697056,984,0.984,0.23546302943287867,1978,0.989,0.47331897583153865,3924,0.7848,0.9389806173725772,3235.0,0.6102531426843492,4310.0,0.7138148516134606,C15,47,fixed_20,4547,250,35.15880826900002,3241.0,4321.0
23149,4179,5000,12,0.6,0.002871500358937545,89,0.89,0.02129696099545346,459,0.918,0.10983488872936109,920,0.92,0.22014836085187844,1842,0.921,0.44077530509691315,3842,0.7684,0.9193586982531706,3516.0,0.5981143893904705,4637.0,0.6996889714458508,C15,47,explore_10,4547,47,1.614257340999984,3847.0,4698.0
23149,49,5000,2,0.1,0.04081632653061224,2,0.02,0.04081632653061224,4,0.008,0.08163265306122448,4,0.004,0.08163265306122448,4,0.002,0.08163265306122448,8,0.0016,0.16326530612244897,,,,,C16,11,random,3296,0,0.01649978800014651,,
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,2,0.004,0.04081632653061224,8,0.008,0.16326530612244897,14,0.007,0.2857142857142857,21,0.0042,0.42857142857142855,,,,,C16,11,seed_similarity,3296,0,0.6654750860000149,,
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,3,0.006,0.061224489795918366,10,0.01,0.20408163265306123,12,0.006,0.24489795918367346,18,0.0036,0.3673469387755102,,,,,C16,11,frozen_svm,3296,1,0.3264491239999643,,
