metric,method_a,method_b,topics_total,censored_topics,status,topics_used,note,nonzero_pairs,mean_difference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples,analysis_seed,exact_sign_flip_p,wilcoxon_exact_p,minimum_two_sided_p
depth_fraction_at_75,auto_tar,fixed_20,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,0.0008466888418506199,-0.0003887856926865091,0.002205998819243452,10000.0,20260907.0,0.3125,0.3125,0.0625
depth_fraction_at_75,auto_tar,explore_10,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,-0.004086569614238196,-0.007136377381312367,-0.0014169078577908334,10000.0,20260907.0,0.0625,0.0625,0.0625
depth_fraction_at_75,fixed_20,explore_10,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,-0.004933258456088816,-0.00942877302115282,-0.0014802655262286348,10000.0,20260907.0,0.125,0.125,0.0625
depth_fraction_at_80,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,random,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,uncertainty,auto_tar,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,uncertainty,fixed_20,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,uncertainty,explore_10,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
depth_fraction_at_80,auto_tar,fixed_20,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,0.0019007300531340447,0.0006738952006566159,0.003481791870059181,10000.0,20260907.0,0.0625,0.0625,0.0625
depth_fraction_at_80,auto_tar,explore_10,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,-0.0036545855112531857,-0.006796549886964159,-0.0006710153066367159,10000.0,20260907.0,0.125,0.125,0.0625
depth_fraction_at_80,fixed_20,explore_10,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,-0.00555531556438723,-0.01026394228692384,-0.0020072861318703467,10000.0,20260907.0,0.0625,0.0625,0.0625
