metric,method_a,method_b,topics_total,censored_topics,topic,status,difference
batch_effort_at_80,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
